ticker,sector,signal,final_score,momentum,value,quality,sentiment,current_price,stop_loss,stop_loss_pct,take_profit,take_profit_pct,risk_reward,atr,reason
HWM,aerospace,HOLD,0.6662,0.8629,-0.6062,0.7824,0.0,251.3,233.67,-7.02,277.74,10.52,1.5000000000000016,8.8144,高値圏のためディップ待ち (本来のスコアはBUY水準)
MU,semiconductor,HOLD,0.6192,0.6849,-0.1452,0.9224,0.0,417.35,383.96,-8.0,500.82,20.0,2.5,30.2529,高値圏のためディップ待ち (本来のスコアはBUY水準)
AMAT,semiconductor,HOLD,0.6148,0.8405,-0.3354,0.6483,0.0,369.83,340.24,-8.0,428.41,15.84,1.9800842148961662,19.5279,高値圏のためディップ待ち (本来のスコアはBUY水準)
NEM,mining,HOLD,0.608,0.6542,-0.0366,0.9365,0.0,125.4,115.37,-8.0,145.77,16.24,2.0305000339707107,6.79,高値圏のためディップ待ち (本来のスコアはBUY水準)
LRCX,semiconductor,HOLD,0.601,0.6683,-0.4336,0.8895,0.0,237.39,218.4,-8.0,277.58,16.93,2.1164311134581926,13.3979,高値圏のためディップ待ち (本来のスコアはBUY水準)
AG,mining,HOLD,0.5984,0.7334,-0.5485,0.7724,0.0,24.78,22.8,-8.0,29.74,20.0,2.5000000000000018,2.0404,クオリティ強気(+0.77) / モメンタム強気(+0.73) / バリュー弱気(-0.55)
TSM,semiconductor,HOLD,0.5937,0.6147,0.2959,0.9545,0.0,360.39,331.56,-8.0,409.2,13.54,1.6929575513501405,16.27,クオリティ強気(+0.95) / モメンタム強気(+0.61) / バリュー強気(+0.30)
VRT,datacenter,HOLD,0.5881,0.767,-0.5643,0.682,0.0,243.06,223.62,-8.0,291.67,20.0,2.500000000000003,16.3423,モメンタム強気(+0.77) / クオリティ強気(+0.68) / バリュー弱気(-0.56)
PAAS,mining,HOLD,0.5674,0.6423,-0.342,0.8208,0.0,61.21,56.31,-8.0,73.45,20.0,2.500000000000003,4.1358,クオリティ強気(+0.82) / モメンタム強気(+0.64) / バリュー弱気(-0.34)
VAL,energy,HOLD,0.5479,0.8388,-0.0617,0.4283,0.0,92.49,85.09,-8.0,110.99,20.0,2.499999999999999,6.4189,モメンタム強気(+0.84) / クオリティ強気(+0.43)
ASML,semiconductor,HOLD,0.5305,0.7057,-0.4532,0.5922,0.0,1458.93,1357.11,-6.98,1611.66,10.47,1.5,50.9116,モメンタム強気(+0.71) / クオリティ強気(+0.59) / バリュー弱気(-0.45)
WPM,mining,HOLD,0.5283,0.5284,-0.6287,0.8802,0.0,145.34,133.71,-8.0,169.32,16.5,2.0622821878972544,7.9929,クオリティ強気(+0.88) / バリュー弱気(-0.63) / モメンタム強気(+0.53)
HII,aerospace,HOLD,0.5189,0.7637,0.2322,0.4568,0.0,443.14,407.69,-8.0,502.35,13.36,1.670042010834421,19.735,モメンタム強気(+0.76) / クオリティ強気(+0.46) / バリュー強気(+0.23)
NOC,aerospace,HOLD,0.4981,0.77,-0.1261,0.3771,0.0,736.87,699.18,-5.11,793.4,7.67,1.499999999999997,18.8428,モメンタム強気(+0.77) / クオリティ強気(+0.38) / バリュー弱気(-0.13)
NVDA,semiconductor,HOLD,0.4523,0.3182,-0.4565,0.9772,0.0,187.9,173.82,-7.5,209.03,11.24,1.500000000000001,7.0421,クオリティ強気(+0.98) / バリュー弱気(-0.46) / モメンタム強気(+0.32)
RCAT,aerospace,HOLD,0.4496,0.4624,0.1447,0.7279,0.0,12.83,11.8,-8.0,15.4,20.0,2.499999999999999,1.5214,クオリティ強気(+0.73) / モメンタム強気(+0.46) / バリュー強気(+0.14)
RTX,aerospace,HOLD,0.4374,0.6537,-0.0456,0.3685,0.0,205.41,195.16,-4.99,220.78,7.48,1.5000000000000027,5.1236,モメンタム強気(+0.65) / クオリティ強気(+0.37)
HAL,energy,HOLD,0.4361,0.6113,0.1206,0.4348,0.0,35.37,33.07,-6.5,38.82,9.76,1.4999999999999984,1.1504,モメンタム強気(+0.61) / クオリティ強気(+0.43) / バリュー強気(+0.12)
KLAC,semiconductor,HOLD,0.4314,0.5265,-0.3414,0.5606,0.0,1469.9,1352.31,-8.0,1704.95,15.99,1.9988965143138597,78.3514,クオリティ強気(+0.56) / モメンタム強気(+0.53) / バリュー弱気(-0.34)
CRDO,semiconductor,HOLD,0.429,0.2728,-0.6508,0.9755,0.0,130.66,120.21,-8.0,156.79,20.0,2.499999999999999,11.9374,クオリティ強気(+0.98) / バリュー弱気(-0.65) / モメンタム強気(+0.27)
LMT,aerospace,HOLD,0.4273,0.7732,-0.2228,0.1355,0.0,666.51,627.89,-5.79,724.44,8.69,1.4999999999999971,19.3107,モメンタム強気(+0.77) / バリュー弱気(-0.22) / クオリティ強気(+0.14)
LHX,aerospace,HOLD,0.4211,0.6884,0.1913,0.2564,0.0,358.7,339.0,-5.49,388.26,8.24,1.4999999999999987,9.8521,モメンタム強気(+0.69) / クオリティ強気(+0.26) / バリュー強気(+0.19)
GILD,biotech,HOLD,0.4182,0.5618,-0.0106,0.4577,0.0,151.12,142.48,-5.72,164.08,8.57,1.5000000000000033,4.3189,モメンタム強気(+0.56) / クオリティ強気(+0.46)
NE,energy,HOLD,0.4064,0.7536,0.3633,0.0985,0.0,45.34,41.71,-8.0,51.87,14.41,1.8012709890230663,2.1779,モメンタム強気(+0.75) / バリュー強気(+0.36)
BIIB,biotech,HOLD,0.4061,0.5757,0.7264,0.394,0.0,192.08,179.25,-6.68,211.33,10.02,1.5000000000000022,6.4168,バリュー強気(+0.73) / モメンタム強気(+0.58) / クオリティ強気(+0.39)
FANG,energy,HOLD,0.3992,0.5431,-0.1278,0.4256,0.0,174.72,164.25,-5.99,190.43,8.99,1.4999999999999987,5.2364,モメンタム強気(+0.54) / クオリティ強気(+0.43) / バリュー弱気(-0.13)
RIG,energy,HOLD,0.3923,0.825,0.4525,-0.0673,0.0,6.36,5.85,-8.0,7.57,19.0,2.3753374236006923,0.4029,モメンタム強気(+0.82) / バリュー強気(+0.45)
REGN,biotech,HOLD,0.3921,0.3905,0.4183,0.6561,0.0,782.38,731.14,-6.55,859.23,9.82,1.500000000000001,25.6179,クオリティ強気(+0.66) / バリュー強気(+0.42) / モメンタム強気(+0.39)
FCX,mining,HOLD,0.3916,0.4618,-0.2814,0.5355,0.0,62.57,57.56,-8.0,72.43,15.76,1.9696512346445147,3.2864,クオリティ強気(+0.54) / モメンタム強気(+0.46) / バリュー弱気(-0.28)
SLB,energy,HOLD,0.3891,0.5274,-0.1344,0.4181,0.0,51.54,48.3,-6.29,56.4,9.43,1.4999999999999978,1.6208,モメンタム強気(+0.53) / クオリティ強気(+0.42) / バリュー弱気(-0.13)
XOM,energy,HOLD,0.3883,0.5714,-0.1222,0.342,0.0,150.97,142.93,-5.33,163.04,7.99,1.5000000000000018,4.0222,モメンタム強気(+0.57) / クオリティ強気(+0.34) / バリュー弱気(-0.12)
HL,mining,HOLD,0.371,0.2245,-0.6008,0.8623,0.0,22.79,20.97,-8.0,27.35,20.0,2.499999999999999,2.1321,クオリティ強気(+0.86) / バリュー弱気(-0.60) / モメンタム強気(+0.22)
GOLD,mining,HOLD,0.364,0.5782,-0.0393,0.2496,0.0,58.67,53.98,-8.0,70.4,20.0,2.5,4.9819,モメンタム強気(+0.58) / クオリティ強気(+0.25)
MRNA,biotech,HOLD,0.3608,0.7436,0.1456,-0.0365,0.0,49.7,45.72,-8.0,59.64,20.0,2.5000000000000018,3.4389,モメンタム強気(+0.74) / バリュー強気(+0.15)
ON,semiconductor,HOLD,0.3569,0.5523,0.5477,0.2692,0.0,68.09,62.64,-8.0,77.67,14.06,1.7580464141347567,3.1921,モメンタム強気(+0.55) / バリュー強気(+0.55) / クオリティ強気(+0.27)
EOG,energy,HOLD,0.3557,0.4152,0.2921,0.4937,0.0,123.87,116.86,-5.66,134.39,8.49,1.5,3.5057,クオリティ強気(+0.49) / モメンタム強気(+0.42) / バリュー強気(+0.29)
VRTX,biotech,HOLD,0.348,0.2058,-0.1151,0.8169,0.0,469.27,439.59,-6.32,513.79,9.49,1.500000000000002,14.8386,クオリティ強気(+0.82) / モメンタム強気(+0.21) / バリュー弱気(-0.12)
AMGN,biotech,HOLD,0.3356,0.5858,-0.0047,0.1425,0.0,375.5,353.91,-5.75,407.89,8.63,1.5000000000000027,10.7974,モメンタム強気(+0.59) / クオリティ強気(+0.14)
XAR,etf,HOLD,0.3296,0.6593,0.0,0.0,0.0,284.46,268.1,-5.75,309.0,8.63,1.4999999999999964,8.1796,モメンタム強気(+0.66)
COP,energy,HOLD,0.3267,0.4903,0.3426,0.2719,0.0,111.59,105.26,-5.68,121.09,8.51,1.5000000000000022,3.1671,モメンタム強気(+0.49) / バリュー強気(+0.34) / クオリティ強気(+0.27)
GD,aerospace,HOLD,0.3201,0.3166,0.188,0.5396,0.0,354.34,336.79,-4.95,380.66,7.43,1.4999999999999984,8.7736,クオリティ強気(+0.54) / モメンタム強気(+0.32) / バリュー強気(+0.19)
EQIX,datacenter,HOLD,0.3084,0.5407,-0.2483,0.1267,0.0,918.03,858.68,-6.47,1007.06,9.7,1.4999999999999991,29.6771,モメンタム強気(+0.54) / バリュー弱気(-0.25) / クオリティ強気(+0.13)
DVN,energy,HOLD,0.3082,0.5366,0.4739,0.1329,0.0,44.66,41.6,-6.84,49.24,10.27,1.499999999999999,1.5282,モメンタム強気(+0.54) / バリュー強気(+0.47) / クオリティ強気(+0.13)
DLR,datacenter,HOLD,0.296,0.3585,0.0941,0.3893,0.0,176.9,167.37,-5.39,191.2,8.08,1.5,4.7664,クオリティ強気(+0.39) / モメンタム強気(+0.36)
SMH,etf,HOLD,0.2864,0.5728,0.0,0.0,0.0,410.2,381.99,-6.88,452.52,10.32,1.499999999999999,14.1071,モメンタム強気(+0.57)
OXY,energy,HOLD,0.2849,0.5449,0.4148,0.0415,0.0,51.53,47.95,-6.95,56.9,10.42,1.499999999999998,1.7904,モメンタム強気(+0.54) / バリュー強気(+0.41)
BMY,biotech,HOLD,0.2758,0.5036,0.3084,0.08,0.0,60.3,57.23,-5.09,64.91,7.64,1.5,1.5361,モメンタム強気(+0.50) / バリュー強気(+0.31)
XLE,etf,HOLD,0.2735,0.5471,0.6471,0.0,0.0,55.18,52.73,-4.44,58.86,6.66,1.5,1.225,バリュー強気(+0.65) / モメンタム強気(+0.55)
GDX,etf,HOLD,0.2702,0.5405,0.0,0.0,0.0,104.24,95.9,-8.0,121.83,16.88,2.10991487507687,5.865,モメンタム強気(+0.54)
LLY,biotech,HOLD,0.2618,0.2346,-0.4853,0.4815,0.0,1023.22,941.36,-8.0,1156.62,13.04,1.6296633189319845,44.4668,バリュー弱気(-0.49) / クオリティ強気(+0.48) / モメンタム強気(+0.23)
AVGO,semiconductor,HOLD,0.2618,0.2438,0.3327,0.4662,0.0,333.99,307.27,-8.0,382.91,14.65,1.8307226174716598,16.3051,クオリティ強気(+0.47) / バリュー強気(+0.33) / モメンタム強気(+0.24)
BNTX,biotech,HOLD,0.2469,0.0641,0.4107,0.7163,0.0,110.42,103.77,-6.02,120.39,9.03,1.499999999999999,3.3246,クオリティ強気(+0.72) / バリュー強気(+0.41)
CVX,energy,HOLD,0.2364,0.5066,-0.2038,-0.0565,0.0,184.78,176.89,-4.27,196.61,6.4,1.4999999999999982,3.9425,モメンタム強気(+0.51) / バリュー弱気(-0.20)
TDG,aerospace,HOLD,0.2312,0.0581,0.2973,0.6738,0.0,1330.13,1243.56,-6.51,1459.98,9.76,1.5000000000000013,43.2846,クオリティ強気(+0.67) / バリュー強気(+0.30)
ABBV,biotech,HOLD,0.2282,0.2315,0.6027,0.375,0.0,224.35,210.29,-6.27,245.43,9.4,1.500000000000001,7.0279,バリュー強気(+0.60) / クオリティ強気(+0.38) / モメンタム強気(+0.23)
BA,aerospace,HOLD,0.2172,0.2561,0.064,0.297,0.0,233.71,219.26,-6.18,255.39,9.28,1.4999999999999991,7.2264,クオリティ強気(+0.30) / モメンタム強気(+0.26)
INTC,semiconductor,HOLD,0.2028,0.1922,0.1393,0.3558,0.0,44.62,41.05,-8.0,53.45,19.8,2.4744672885793406,2.9443,クオリティ強気(+0.36) / モメンタム強気(+0.19) / バリュー強気(+0.14)
IBB,etf,HOLD,0.2026,0.4052,0.6391,0.0,0.0,175.03,168.0,-4.02,185.58,6.03,1.500000000000002,3.5171,バリュー強気(+0.64) / モメンタム強気(+0.41)
AMD,semiconductor,HOLD,0.1926,-0.0977,-0.2239,0.8049,0.0,203.37,187.1,-8.0,244.04,20.0,2.5000000000000027,14.0997,クオリティ強気(+0.80) / バリュー弱気(-0.22)
MRVL,semiconductor,HOLD,0.1849,-0.1374,0.1626,0.8454,0.0,79.61,73.24,-8.0,90.81,14.07,1.758685327749077,3.7336,クオリティ強気(+0.85) / バリュー強気(+0.16) / モメンタム弱気(-0.14)
IWM,etf,HOLD,0.1609,0.3217,0.5967,0.0,0.0,264.6,252.48,-4.58,282.77,6.87,1.500000000000001,6.0581,バリュー強気(+0.60) / モメンタム強気(+0.32)
XLV,etf,HOLD,0.1091,0.2183,0.588,0.0,0.0,157.26,152.99,-2.71,163.66,4.07,1.4999999999999967,2.1325,バリュー強気(+0.59) / モメンタム強気(+0.22)
DIA,etf,HOLD,0.0819,0.1638,0.5399,0.0,0.0,494.38,481.22,-2.66,514.12,3.99,1.5000000000000064,6.58,バリュー強気(+0.54) / モメンタム強気(+0.16)
SLV,mining,HOLD,0.0618,0.1236,-0.6631,0.0,0.0,71.01,65.33,-8.0,85.21,20.0,2.5,8.12,バリュー弱気(-0.66) / モメンタム強気(+0.12)
AMT,datacenter,HOLD,0.0603,0.1243,-0.0128,-0.0063,0.0,184.79,173.68,-6.01,201.46,9.02,1.5000000000000027,5.5554,モメンタム強気(+0.12)
SPY,etf,HOLD,0.0583,0.1166,0.4684,0.0,0.0,684.48,666.39,-2.64,711.62,3.96,1.500000000000003,9.0459,バリュー強気(+0.47) / モメンタム強気(+0.12)
XLK,etf,HOLD,0.0385,0.077,0.6871,0.0,0.0,140.21,132.68,-5.37,151.51,8.06,1.5,3.7654,バリュー強気(+0.69)
QQQ,etf,HOLD,0.0251,0.0501,0.4378,0.0,0.0,603.47,580.81,-3.76,637.47,5.63,1.5,11.3318,バリュー強気(+0.44)
PXD,energy,HOLD,0.0,0.0,0.0,0.0,0.0,,,,,,,,中立シグナル
QCOM,semiconductor,HOLD,-0.0062,-0.3824,0.4106,0.6168,0.0,141.27,131.11,-7.19,156.51,10.79,1.4999999999999971,5.0807,クオリティ強気(+0.62) / バリュー強気(+0.41) / モメンタム弱気(-0.38)
XLF,etf,HOLD,-0.0338,-0.0676,0.4891,0.0,0.0,52.15,50.34,-3.47,54.87,5.21,1.499999999999998,0.9057,バリュー強気(+0.49)
